Fund,Rating,Category,Return 1-Year,Return 3-Year,Return 5-Year,Return 10-Year,Return 15-Year,Return 20-Year
HSBC Equity Fund,3,EQ-LC     ,21.52,16.18,15.52,12.11,,
HSBC Equity Fund - Direct Plan,3,EQ-LC     ,22.4,17,,,,
HSBC Flexi Debt Fund,1,DT-INC    ,0.64,5.47,6.97,7.8,,
HSBC Flexi Debt Fund - Direct Plan,2,DT-INC    ,1.4,6.26,,,,
HSBC Income Fund - Investment Plan,1,DT-INC    ,-0.02,4.9,6.46,7.23,,
HSBC Income Fund - Investment Plan - Direct Plan,2,DT-INC    ,0.73,5.7,,,,
HSBC Income Fund - Short Term Plan,1,DT-ST     ,4.66,6.77,7.51,7.73,,
HSBC Income Fund - Short Term Plan - Direct Plan,3,DT-ST     ,5.62,7.77,,,,
HSBC India Opportunities Fund,3,EQ-MLC    ,30.01,18.97,20.47,16.16,,
HSBC India Opportunities Fund - Direct Plan,3,EQ-MLC    ,31.0,19.82,,,,
HSBC Midcap Equity Fund,1,EQ-SC     ,52.87,28.57,31.75,20.24,,
HSBC Midcap Equity Fund - Direct Plan,2,EQ-SC     ,54.02,29.48,,,,
HSBC Monthly Income Plan,2,HY-DC     ,7.4,8.43,9.6,9.57,,
HSBC Monthly Income Plan - Direct Plan,2,HY-DC     ,7.98,9,,,,
HSBC Tax Saver Equity Fund,3,EQ-TS     ,32.52,21.47,21.32,17.52,,
HSBC Tax Saver Equity Fund - Direct Plan,3,EQ-TS     ,33.46,22.3,,,,
HSBC Ultra Short Term Bond Fund,2,DT-UST    ,5.86,6.91,7.55,7.63,,
HSBC Ultra Short Term Bond Fund - Direct Plan,4,DT-UST    ,6.72,7.77,,,,
ICICI Prudential Advisor Series - Cautious Plan,1,HY-DC     ,5.6,6.52,8.1,8.37,,
ICICI Prudential Advisor Series - Cautious Plan - Direct Plan,1,HY-DC     ,6.07,7,,,,
ICICI Prudential Advisor Series - Dynamic Accrual Plan,5,DT-INC    ,5.95,8.61,9.41,8.52,,
ICICI Prudential Advisor Series - Dynamic Accrual Plan - Direct Plan,5,DT-INC    ,6.39,9.05,,,,
ICICI Prudential Advisor Series - Long Term Savings Plan,2,HY-EQ     ,13.82,13.22,13.53,12.27,,
ICICI Prudential Advisor Series - Long Term Savings Plan - Direct Plan,2,HY-EQ     ,14.27,13.63,,,,
ICICI Prudential Advisor Series - Moderate Plan,1,HY-DA     ,10.49,12.04,12.61,11.5,,
ICICI Prudential Advisor Series - Moderate Plan - Direct Plan,2,HY-DA     ,10.78,12.27,,,,
ICICI Prudential Balanced Advantage Fund,3,HY-EQ     ,17.0,13.02,14.4,14.38,,
ICICI Prudential Balanced Advantage Fund - Direct Plan,4,HY-EQ     ,18.51,14.54,,,,
ICICI Prudential Balanced Fund,4,HY-EQ     ,22.62,17.92,19.13,17.2,16.52,
ICICI Prudential Balanced Fund - Direct Plan,5,HY-EQ     ,24.39,19.51,,,,
ICICI Prudential Banking & PSU Debt Fund,4,DT-INC    ,4.84,8.33,8.93,,,
ICICI Prudential Banking & PSU Debt Fund - Direct Plan,4,DT-INC    ,5.11,8.62,,,,
ICICI Prudential Banking and Financial Services Fund,5,EQ-BANK   ,26.36,26.72,26.83,,,
ICICI Prudential Banking and Financial Services Fund - Direct Plan,5,EQ-BANK   ,28.1,28.29,,,,
ICICI Prudential Child Care Plan - Gift Plan,2,HY-EQ     ,21.08,14.65,17.28,15.49,15.19,
ICICI Prudential Child Care Plan - Gift Plan - Direct Plan,2,HY-EQ     ,22.07,15.58,,,,
ICICI Prudential Child Care Plan - Study Plan,5,HY-DC     ,8.93,10.77,13.95,13.67,12.86,
ICICI Prudential Child Care Plan - Study Plan - Direct Plan,5,HY-DC     ,9.6,11.31,,,,
ICICI Prudential Constant Maturity Gilt Fund,3,GL-MLT    ,2.26,7.61,,,,
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan,3,GL-MLT    ,2.49,7.88,,,,
ICICI Prudential Corporate Bond Fund,1,DT-CO     ,5.48,7.86,8.63,8.44,,
ICICI Prudential Corporate Bond Fund - Direct Plan,3,DT-CO     ,6.39,8.85,,,,
ICICI Prudential Dividend Yield Equity Fund,2,EQ-MC     ,32.95,23,,,,
ICICI Prudential Dividend Yield Equity Fund - Direct Plan,2,EQ-MC     ,33.91,23.78,,,,
ICICI Prudential Dynamic Bond Fund,3,DT-DB     ,3.3,7.84,8.89,,,
ICICI Prudential Dynamic Bond Fund - Direct Plan,4,DT-DB     ,4.22,8.66,,,,
ICICI Prudential Dynamic Plan,3,EQ-MLC    ,24.83,18.61,18.34,16.43,19.31,
ICICI Prudential Dynamic Plan - Direct Plan,3,EQ-MLC    ,26.11,19.64,,,,
ICICI Prudential Equity Arbitrage Fund,3,HY-AR     ,5.68,6.15,6.85,7.52,,
ICICI Prudential Equity Arbitrage Fund - Direct Plan,5,HY-AR     ,6.34,6.81,,,,
ICICI Prudential Flexible Income Plan,3,DT-UST    ,6.55,7.9,8.42,8.57,8.18,
ICICI Prudential Flexible Income Plan - Direct Plan,3,DT-UST    ,6.69,8.04,,,,
ICICI Prudential Focused Bluechip Equity Fund,4,EQ-LC     ,28.91,18.5,18.29,,,
ICICI Prudential Focused Bluechip Equity Fund - Direct Plan,4,EQ-LC     ,30.1,19.59,,,,
ICICI Prudential Gilt Fund - Investment Plan - PF Option,3,GL-MLT    ,2.32,8.33,9.78,9.31,,
ICICI Prudential Gilt Fund - Investment Plan - PF Option - Direct Plan,4,GL-MLT    ,2.59,8.62,,,,
ICICI Prudential Gilt Fund - Treasury Plan - PF Option,4,GL-ST     ,5.25,9.48,7.93,7.07,,
ICICI Prudential Gilt Fund - Treasury Plan - PF Option - Direct Plan,4,GL-ST     ,5.65,9.97,,,,
ICICI Prudential Income Opportunities Fund,3,DT-INC    ,4.32,7.53,8.68,,,
ICICI Prudential Income Opportunities Fund - Direct Plan,3,DT-INC    ,4.94,8.08,,,,
ICICI Prudential Income Plan,3,DT-INC    ,2.85,7.89,8.87,8.48,8.29,
ICICI Prudential Income Plan - Direct Plan,3,DT-INC    ,3.67,8.86,,,,
ICICI Prudential Indo Asia Equity Fund,3,EQ-MC     ,41.01,23.07,22.09,18.07,,
ICICI Prudential Indo Asia Equity Fund - Direct Plan,3,EQ-MC     ,41.68,23.62,,,,
ICICI Prudential Infrastructure Fund,2,EQ-INFRA  ,36.13,20.22,19.48,12.72,,
ICICI Prudential Infrastructure Fund - Direct Plan,2,EQ-INFRA  ,37.35,21.08,,,,
ICICI Prudential Liquid Plan,3,DT-LIQ    ,6.55,7.12,7.7,8.07,,
ICICI Prudential Liquid Plan - Direct Plan,3,DT-LIQ    ,6.61,7.17,,,,
ICICI Prudential Long Term Equity Fund (Tax Saving),2,EQ-TS     ,23.14,14.85,17.91,17.28,19.26,
ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan,3,EQ-TS     ,24.74,16.27,,,,
ICICI Prudential Long Term Fund,4,DT-DB     ,3.97,8.93,10.59,,,
ICICI Prudential Long Term Fund - Direct Plan,5,DT-DB     ,4.69,9.69,,,,
ICICI Prudential Long Term Gilt Fund,3,GL-MLT    ,1.13,7.73,9.05,8.7,8.67,
ICICI Prudential Long Term Gilt Fund - Direct Plan,3,GL-MLT    ,1.78,8.41,,,,
ICICI Prudential Midcap Fund,3,EQ-MC     ,39.28,23.32,27.76,20.88,,
ICICI Prudential Midcap Fund - Direct Plan,3,EQ-MC     ,40.87,24.52,,,,
ICICI Prudential MIP 25,4,HY-DC     ,10.63,11.15,12.13,11.19,,
ICICI Prudential MIP 25 - Direct Plan,4,HY-DC     ,11.65,12.08,,,,
ICICI Prudential Money Market Fund,3,DT-LIQ    ,6.57,7.13,7.69,7.87,,
ICICI Prudential Money Market Fund - Direct Plan,4,DT-LIQ    ,6.68,7.22,,,,
ICICI Prudential Monthly Income Plan,2,HY-DC     ,6.33,8.46,9.71,9.46,9.17,
ICICI Prudential Monthly Income Plan - Direct Plan,3,HY-DC     ,6.96,9.06,,,,
ICICI Prudential Multicap Fund,2,EQ-MLC    ,22.75,16.94,19.28,16.37,17.63,
ICICI Prudential Multicap Fund - Direct Plan,2,EQ-MLC    ,24.27,18.22,,,,
ICICI Prudential Nifty 100 iWIN ETF Fund,3,EQ-LC     ,24.25,15.86,,,,
ICICI Prudential Nifty Index Fund,2,EQ-LC     ,21.73,13.85,13.45,11.9,13.93,
ICICI Prudential Nifty Index Fund - Direct Plan,2,EQ-LC     ,22.24,14.27,,,,
ICICI Prudential Nifty iWIN ETF Fund,3,EQ-LC     ,23.0,14.85,,,,
ICICI Prudential Nifty Next 50 Index Fund,4,EQ-MLC    ,35.3,24.35,23.59,,,
ICICI Prudential Nifty Next 50 Index Fund - Direct Plan,5,EQ-MLC    ,35.85,24.87,,,,
ICICI Prudential Regular Income Fund,4,HY-DC     ,6.28,8.08,8.98,,,
ICICI Prudential Regular Income Fund - Direct Plan,5,HY-DC     ,6.96,9.12,,,,
ICICI Prudential Regular Savings Fund,3,DT-CO     ,5.89,7.91,8.58,,,
ICICI Prudential Regular Savings Fund - Direct Plan,3,DT-CO     ,6.86,8.91,,,,
ICICI Prudential Savings Fund,2,DT-UST    ,5.82,7.53,8.05,8.28,,
ICICI Prudential Savings Fund - Direct Plan,4,DT-UST    ,6.71,8.47,,,,
ICICI Prudential Select Large Cap Fund,3,EQ-LC     ,21.48,14.24,14.92,,,
ICICI Prudential Select Large Cap Fund - Direct Plan,3,EQ-LC     ,22.98,15.65,,,,
ICICI Prudential Short Term Fund,2,DT-ST     ,5.09,7.87,8.58,8.64,8.53,
ICICI Prudential Short Term Fund - Direct Plan,4,DT-ST     ,6.0,8.72,,,,
ICICI Prudential Short Term Fund - Gilt Plan,3,GL-ST     ,4.76,7.95,8.66,8.26,8.1,
ICICI Prudential Short Term Fund - Gilt Plan - Direct Plan,3,GL-ST     ,5.16,8.38,,,,
ICICI Prudential Top 100 Fund,2,EQ-MLC    ,24.8,18.53,17.97,15.69,17.07,
ICICI Prudential Top 100 Fund - Direct Plan,3,EQ-MLC    ,26.49,19.86,,,,
ICICI Prudential Ultra Short Term Plan,3,DT-ST     ,5.49,7.7,8.29,,,
ICICI Prudential Ultra Short Term Plan - Direct Plan,3,DT-ST     ,5.83,8.05,,,,
ICICI Prudential Value Discovery Fund,4,EQ-LC     ,20.25,13.24,19.93,20.74,,
ICICI Prudential Value Discovery Fund - Direct Plan,4,EQ-LC     ,21.53,14.53,,,,
Templeton India Equity Income Fund,3,EQ-MLC    ,28.27,19.3,18.18,15.88,,
Templeton India Equity Income Fund - Direct Plan,3,EQ-MLC    ,29.2,20.1,,,,
Templeton India Growth Fund,3,EQ-MLC    ,31.17,21.64,20.82,16.28,17.89,19.96
Templeton India Growth Fund - Direct Plan,3,EQ-MLC    ,32.18,22.51,,,,
CPSE Exchange Traded Fund,1,EQ-LC     ,17.94,16.03,,,,
Reliance Arbitrage Advantage Fund,3,HY-AR     ,5.61,6.1,6.79,,,
Reliance Arbitrage Advantage Fund - Direct Plan,4,HY-AR     ,6.26,6.73,,,,
Reliance Banking & PSU Debt Fund,3,DT-INC    ,5.23,,,,,
Reliance Banking & PSU Debt Fund - Direct Plan,3,DT-INC    ,5.44,,,,,
Reliance Banking Fund,4,EQ-BANK   ,26.24,22.67,22.77,19.56,,
Reliance Banking Fund - Direct Plan,4,EQ-BANK   ,27.39,23.63,,,,
Reliance Corporate Bond Fund,1,DT-CO     ,5.61,8.46,,,,
Reliance Corporate Bond Fund - Direct Plan,3,DT-CO     ,6.7,9.48,,,,
Reliance Dynamic Bond Fund,2,DT-DB     ,2.15,7,8.28,8.32,,
Reliance Dynamic Bond Fund - Direct Plan,3,DT-DB     ,2.82,7.7,,,,
Reliance Equity Opportunities Fund,2,EQ-MLC    ,37.92,17.61,19,18.78,,
Reliance Equity Opportunities Fund - Direct Plan,2,EQ-MLC    ,39.01,18.49,,,,
Reliance ETF Bank BeES,3,EQ-BANK   ,28.25,20.58,20.35,17.47,,
Reliance ETF Dividend Opportunities,3,EQ-LC     ,23.66,18.3,,,,
Reliance ETF Infra BeES,1,EQ-INFRA  ,26.43,13.3,10.67,,,
Reliance ETF Junior BeES,4,EQ-MLC    ,36.32,24.54,23.94,19.27,,
Reliance ETF Liquid BeES,1,DT-LIQ    ,5.06,5.43,5.91,6.34,,
Reliance ETF Nifty 100,3,EQ-LC     ,24.03,15.51,,,,
Reliance ETF Nifty BeES,3,EQ-LC     ,23.12,14.66,14.05,12.44,14.22,
Reliance ETF PSU Bank BeES,1,EQ-BANK   ,24.09,13.68,9.75,6.29,,
Reliance ETF Sensex,2,EQ-LC     ,23.69,14.35,,,,
Reliance Floating Rate Fund - Short Term Plan,3,DT-ST     ,5.21,7.2,7.94,8.18,,
Reliance Floating Rate Fund - Short Term Plan - Direct Plan,3,DT-ST     ,5.68,7.69,,,,
Reliance Focused Large Cap Fund,3,EQ-LC     ,22.53,15.04,16.14,12.71,,
Reliance Focused Large Cap Fund - Direct Plan,4,EQ-LC     ,23.49,15.89,,,,
Reliance Gilt Securities Fund,4,GL-MLT    ,1.86,8.19,9.61,8.71,,
Reliance Gilt Securities Fund - Direct Plan,5,GL-MLT    ,3.03,9.44,,,,
Reliance Gilt Securities PF,4,GL-MLT    ,1.86,8.19,9.61,,,
Reliance Growth Fund,1,EQ-MC     ,35.62,21.86,22.79,17.39,21.23,
Reliance Growth Fund - Direct Plan,2,EQ-MC     ,36.68,22.77,,,,
Reliance Income Fund,2,DT-INC    ,1.68,6.54,7.72,7.88,7.8,
Reliance Income Fund - Direct Plan,2,DT-INC    ,2.53,7.48,,,,
Reliance Index Fund - Nifty Plan,2,EQ-LC     ,21.88,13.48,12.99,,,
Reliance Index Fund - Nifty Plan - Direct Plan,2,EQ-LC     ,22.66,14.14,,,,
Reliance Liquid Fund - Cash Plan,1,DT-LIQ    ,5.76,6.28,6.9,7.27,6.83,
Reliance Liquid Fund - Cash Plan - Direct Plan,4,DT-LIQ    ,6.75,7.29,,,,
Reliance Liquid Fund - Treasury Plan,3,DT-LIQ    ,6.6,7.14,7.71,8.05,,
Reliance Liquid Fund - Treasury Plan - Direct Plan,4,DT-LIQ    ,6.68,7.23,,,,
Reliance Liquidity Fund,2,DT-LIQ    ,6.51,7.07,7.66,8.03,,
Reliance Liquidity Fund - Direct Plan,3,DT-LIQ    ,6.62,7.18,,,,
Reliance Medium Term Fund,4,DT-ST     ,6.07,7.64,8.17,8.3,7.71,
Reliance Medium Term Fund - Direct Plan,4,DT-ST     ,6.51,8.15,,,,
Reliance Mid & Small Cap Fund,2,EQ-MC     ,36.46,22.71,27.01,20.94,,
Reliance Mid & Small Cap Fund - Direct Plan,2,EQ-MC     ,37.94,23.89,,,,
Reliance Money Manager Fund,2,DT-UST    ,6.19,7.41,7.96,8.27,,
Reliance Money Manager Fund - Direct Plan,3,DT-UST    ,6.53,7.75,,,,
Reliance Monthly Income Plan,2,HY-DC     ,7.78,8.75,10.31,10.56,,
Reliance Monthly Income Plan - Direct Plan,3,HY-DC     ,8.74,9.7,,,,
Reliance NRI Equity Fund,3,EQ-LC     ,17.17,13.98,15.12,14.61,,
Reliance NRI Equity Fund - Direct Plan,4,EQ-LC     ,17.88,14.64,,,,
Reliance Quant Plus Fund - Direct Plan,2,EQ-LC     ,23.94,15.14,,,,
Reliance Quant Plus Fund - Retail Plan,1,EQ-LC     ,23.04,14.89,13.64,,,
Reliance Regular Savings Fund - Balanced Option,3,HY-EQ     ,23.25,16.87,18.44,16.6,,
Reliance Regular Savings Fund - Balanced Option - Direct Plan,4,HY-EQ     ,25.18,18.54,,,,
Reliance Regular Savings Fund - Debt Option,3,DT-CO     ,6.17,8.16,8.76,8.62,,
Reliance Regular Savings Fund - Debt Option - Direct Plan,4,DT-CO     ,7.14,9.14,,,,
Reliance Regular Savings Fund - Equity Option,1,EQ-MC     ,41.12,21.79,22,17.34,,
Reliance Regular Savings Fund - Equity Option - Direct Plan,1,EQ-MC     ,42.26,22.73,,,,
Reliance Short Term Fund,2,DT-ST     ,4.85,7.28,8.13,8.41,,
Reliance Short Term Fund - Direct Plan,3,DT-ST     ,5.48,7.93,,,,
Reliance Small Cap Fund,3,EQ-SC     ,62.15,35.78,38.94,,,
Reliance Small Cap Fund - Direct Plan,3,EQ-SC     ,64.15,37.25,,,,
Reliance Tax Saver (ELSS) Fund,3,EQ-TS     ,40.25,22.89,25.41,20.89,,
Reliance Tax Saver (ELSS) Fund - Direct Plan,3,EQ-TS     ,41.65,23.91,,,,
Reliance Top 200 Fund - Direct Plan,5,EQ-LC     ,33.25,20.31,,,,
Reliance Top 200 Fund - Retail Plan,4,EQ-LC     ,31.8,19.07,20.09,16.5,,
Reliance Vision Fund,3,EQ-LC     ,38.93,20.65,21.17,15.57,17.52,22
Reliance Vision Fund - Direct Plan,4,EQ-LC     ,39.88,21.44,,,,
SBI Arbitrage Opportunities Fund,2,HY-AR     ,5.67,5.89,6.61,7.24,,
SBI Arbitrage Opportunities Fund - Direct Plan,3,HY-AR     ,6.2,6.43,,,,
SBI Bluechip Fund,5,EQ-LC     ,24.28,16.37,19.03,16.51,,
SBI Bluechip Fund - Direct Plan,5,EQ-LC     ,25.72,17.68,,,,
SBI Contra Fund,2,EQ-MLC    ,37.56,19.38,18.85,14.23,18.85,
SBI Contra Fund - Direct Plan,2,EQ-MLC    ,38.37,20.07,,,,
SBI Corporate Bond Fund,2,DT-CO     ,5.8,8.25,9.11,9.07,,
SBI Corporate Bond Fund - Direct Plan,3,DT-CO     ,6.65,9.05,,,,
SBI Dynamic Bond Fund,4,DT-DB     ,2.61,7.94,8.55,8.46,,
SBI Dynamic Bond Fund - Direct Plan,5,DT-DB     ,3.4,8.69,,,,
SBI Emerging Businesses Fund,2,EQ-MC     ,45.86,22.39,22.45,21.19,,
SBI Emerging Businesses Fund - Direct Plan,2,EQ-MC     ,47.16,23.43,,,,
SBI ETF Sensex,2,EQ-LC     ,23.72,14.41,,,,
SBI Infrastructure Fund,3,EQ-INFRA  ,45.44,23.93,22.17,12.12,,
SBI Infrastructure Fund - Direct Plan,3,EQ-INFRA  ,46.3,24.59,,,,
SBI Magnum Balanced Fund,4,HY-EQ     ,26.1,15.46,17.86,15.63,16.97,
SBI Magnum Balanced Fund - Direct Plan,4,HY-EQ     ,27.46,16.76,,,,
SBI Magnum Children's Benefit Plan,5,HY-DC     ,25.7,19.39,18.34,14.23,12.21,
SBI Magnum Children's Benefit Plan - Direct Plan,5,HY-DC     ,26.72,20.26,,,,
SBI Magnum Equity Fund,3,EQ-LC     ,18.56,12.85,15.09,14.18,16.84,
SBI Magnum Equity Fund - Direct Plan,4,EQ-LC     ,19.51,13.72,,,,
SBI Magnum Gilt Fund - Long Term Plan,5,GL-MLT    ,2.37,8.43,10.19,9.33,7.88,
SBI Magnum Gilt Fund - Long Term Plan - Direct Plan,5,GL-MLT    ,2.91,9.02,,,,
SBI Magnum Gilt Fund - Short Term Plan,4,GL-ST     ,5.57,8.87,9.7,9.16,8.39,
SBI Magnum Gilt Fund - Short Term Plan - Direct Plan,5,GL-ST     ,5.91,9.25,,,,
SBI Magnum Global Fund,3,EQ-MC     ,47.31,19.72,23.11,20.9,22.8,
SBI Magnum Global Fund - Direct Plan,3,EQ-MC     ,48.65,20.82,,,,
SBI Magnum Income Fund,4,DT-INC    ,4.43,8.26,8.6,8.35,7.26,
SBI Magnum Income Fund - Direct Plan,4,DT-INC    ,5.4,9.03,,,,
SBI Magnum InstaCash Fund,3,DT-LIQ    ,6.54,7.1,7.68,7.96,7.65,
SBI Magnum InstaCash Fund - Direct Plan,4,DT-LIQ    ,6.66,7.2,,,,
SBI Magnum InstaCash Fund - Liquid Floater,1,DT-LIQ    ,5.78,6.28,6.96,7.54,7.41,
SBI Magnum InstaCash Fund - Liquid Floater - Direct Plan,2,DT-LIQ    ,5.9,6.42,,,,
SBI Magnum Midcap Fund,4,EQ-MC     ,28.81,19.09,26.18,21.85,,
SBI Magnum Midcap Fund - Direct Plan,4,EQ-MC     ,30.29,20.45,,,,
SBI Magnum Monthly Income Plan,4,HY-DC     ,6.4,9.45,10.58,9.65,8.57,
SBI Magnum Monthly Income Plan - Direct Plan,5,HY-DC     ,7.38,10.54,,,,
SBI Magnum Monthly Income Plan - Floater,5,HY-DC     ,10.99,9.84,10.84,10.07,,
SBI Magnum Monthly Income Plan - Floater - Direct Plan,5,HY-DC     ,12.04,10.95,,,,
SBI Magnum Multicap Fund,5,EQ-MLC    ,32.16,21.09,23.25,17.32,,
SBI Magnum Multicap Fund - Direct Plan,5,EQ-MLC    ,33.7,22.37,,,,
SBI Magnum Multiplier Fund,4,EQ-MLC    ,36.84,20.32,22.11,17.93,20.79,19.78
SBI Magnum Multiplier Fund - Direct Plan,4,EQ-MLC    ,37.64,20.94,,,,
SBI Magnum Taxgain Scheme,2,EQ-TS     ,28.15,16.16,18.13,15.54,20.32,
SBI Magnum Taxgain Scheme - Direct Plan,3,EQ-TS     ,29.01,16.87,,,,
SBI Nifty Index Fund,2,EQ-LC     ,22.23,13.95,13.06,11.31,12.54,
SBI Nifty Index Fund - Direct Plan,2,EQ-LC     ,22.71,14.47,,,,
SBI Premier Liquid Fund,2,DT-LIQ    ,6.49,7.04,7.63,7.97,,
SBI Premier Liquid Fund - Direct Plan,3,DT-LIQ    ,6.56,7.1,,,,
SBI Regular Savings Fund,5,DT-INC    ,6.09,9.26,10.08,9.18,,
SBI Regular Savings Fund - Direct Plan,5,DT-INC    ,7.07,10.36,,,,
SBI Savings Fund,2,DT-UST    ,5.92,7.17,7.75,8.19,,
SBI Savings Fund - Direct Plan,4,DT-UST    ,6.65,7.93,,,,
SBI Short Term Debt Fund,3,DT-ST     ,4.94,7.36,8.01,8.22,,
SBI Short Term Debt Fund - Direct Plan,4,DT-ST     ,5.59,7.97,,,,
SBI Small & Midcap Fund,5,EQ-SC     ,92.13,41.51,42.52,,,
SBI Small & Midcap Fund - Direct Plan,5,EQ-SC     ,94.0,43.05,,,,
SBI Treasury Advantage Fund,2,DT-UST    ,6.06,7.28,7.98,,,
SBI Treasury Advantage Fund - Direct Plan,4,DT-UST    ,6.6,7.88,,,,
SBI Ultra Short Term Debt Fund,3,DT-UST    ,6.26,7.35,7.93,8.13,,
SBI Ultra Short Term Debt Fund - Direct Plan,3,DT-UST    ,6.35,7.45,,,,
Shriram Equity and Debt Opportunities Fund,1,HY-EQ     ,16.94,11.04,,,,
Shriram Equity and Debt Opportunities Fund - Direct Plan,2,HY-EQ     ,17.69,11.72,,,,
Sundaram Balanced Fund - Direct Plan,2,HY-EQ     ,19.2,14.44,,,,
Sundaram Balanced Fund - Regular Plan,1,HY-EQ     ,17.7,13.58,12.66,10.56,11.62,
Sundaram Bond Saver - Direct Plan,3,DT-INC    ,5.97,8.03,,,,
Sundaram Bond Saver - Regular Plan,2,DT-INC    ,5.03,7.3,7.86,7.67,6.96,7.27
Sundaram Diversified Equity A Long Term Tax Saver Fund,3,EQ-TS     ,29.04,20.43,20.51,15.84,18.71,
Sundaram Diversified Equity A Long Term Tax Saver Fund - Direct Plan,3,EQ-TS     ,29.9,21.02,,,,
Sundaram Equity Multiplier Fund,3,EQ-MLC    ,30.46,20.48,21.01,15.27,,
Sundaram Equity Multiplier Fund - Direct Plan,3,EQ-MLC    ,31.92,21.24,,,,
Sundaram Financial Services Opportunities Fund - Direct Plan,3,EQ-BANK   ,22.42,19.53,,,,
Sundaram Financial Services Opportunities Fund - Regular Plan,3,EQ-BANK   ,20.95,18.59,18.81,,,
Sundaram Flexible Fund - Flexible Income Plan - Direct Plan,4,DT-INC    ,5.17,8.3,,,,
